ein,name,IRS_sub_name,address,city,state,zipcode,subsection_code,ntee_code,site_url,mission,like_understood
464744976,0 DEBT EDUCATION INC,0 DEBT EDUCATION INC,PO BOX 3777,SANTA ROSA,CA,95402-3777,501(c)(3),P51,,,0
272620044,0 TOLERANCE INC,0 TOLERANCE INC,2167 MERRYMOUNT DR,SUWANEE,GA,30024-3208,501(c)(3),B99,http://www.0ti.org/,"The 0 Tolerance mission is to promote TECHNOCATION by reinforcing STEM education through expanding technology related skills, beginning early professional development and promoting positive personal growth.",3
814045228,0 U R PASSION,0 U R PASSION,6816 W 4TH AVE,KENNEWICK,WA,99336-9506,501(c)(3),L40,,PROVIDING HOUSING SUPPORT RECOV,2
824704419,00 MOVEMENT INC,00 MOVEMENT INC,713 CROOKED OAK DR,PENSACOLA,FL,32514-9541,501(c)(3),X20,http://www.00movement.org/,Contending for the ending of human trafficking through prayer and joining in unity with God and with each other until we see freedom throughout the earth.,2
226062777,00006 LOCAL,00006 LOCAL,608 E BALTIMORE PIKE,MEDIA,PA,19063-1735,501(c)(5),,,,0
310240910,0003 POSTAL FAMILY,0003 POSTAL FAMILY,1243 W 8TH ST,CINCINNATI,OH,45203-1004,501(c)(14),,http://www.urmycu.com/,TO PROMOTE THRIFT AND TO PROVIDE FINANCIAL SERVICES TO ITS MEMBERS.,2
581514574,0005 GA,0005 GA,4786 MCCOMBS RD UNIT A,HEPHZIBAH,GA,30815-4258,501(c)(19),,,,0
310278870,0005 WRIGHT-PATT CREDIT UNION,0005 WRIGHT-PATT CREDIT UNION,3560 PENTAGON BLVD,BEAVERCREEK,OH,45431-1706,501(c)(14),,http://www.wpcu.coop/,"THE ORGANIZATION'S MISSION IS TO HELP PEOPLE THROUGH LIFE, WHICH INCLUDES: TO PROMOTE THRIFT AMONG ITS MEMBERS; TO ESTABLISH, ON A COOPERATIVE BASIS, FACILITIES FOR SAVINGS; TO PROVIDE CREDIT FOR PROVIDENT AND PRODUCTIVE PURPOSES; TO PROVIDE ASSISTANCE TO ITS MEMBERS FOR EFFECTIVE USE OF THEIR ASSETS AND RESOURCES; AND ALL ACTIVITIES NECESSARY AND INCIDENTAL THERETO.",6
264507405,0009 DE,0009 DE,12385 SUSSEX HWY,GREENWOOD,DE,19950-5417,501(c)(19),,,,0
364654777,0011 CALIFORNIA,0011 CALIFORNIA,190 PACIFIC AVE,REDWAY,CA,95560-0000,501(c)(19),,,,0
940507697,00141 LOCAL,00141 LOCAL,608 E BALTIMORE PIKE,MEDIA,PA,19063-1735,501(c)(5),,,,0
941411279,00142 LOCAL,00142 LOCAL,608 E BALTIMORE PIKE,MEDIA,PA,19063-1735,501(c)(5),,,,0
16019051,0020 ME AMVETS,0020 ME AMVETS,256 RIVER RD,ARUNDEL,ME,04046-7537,501(c)(19),,,,0
310395830,0022 HOMELAND CREDIT UNION INC,0022 HOMELAND CREDIT UNION INC,310 CALDWELL ST,CHILLICOTHE,OH,45601-3331,501(c)(14),,http://www.homelandcu.com/,THE PURPOSE OF THIS CREDIT UNION SHALL BE TO PROMOTE THRIFT AND TO PROVIDE CREDIT FOR ITS MEMBERS.,2
236420101,00295 LOCAL,00295 LOCAL,608 E BALTIMORE PIKE,MEDIA,PA,19063-1735,501(c)(5),,,,0
582260264,003 LAFAYETTE CTY CHAPTER,003 LAFAYETTE CTY CHAPTER,19996 GRANGE RD,HIGGINSVILLE,MO,64037-8229,501(c)(3),,,,0
956092785,0030 AMVETS,0030 AMVETS,120 W REDONDO BEACH BLVD,GARDENA,CA,90248-0000,501(c)(19),,,,0
237107788,00372 LOCAL,00372 LOCAL,15332 E PAWHUSKA RD,NEVADA,MO,64772-8918,501(c)(5),,,,0
237151534,005 HELENA,005 HELENA,1713 FERRET WAY,GREAT FALLS,MT,59405-5129,501(c)(10),S80,,MEMBERS SERVICES,0
310502711,0053 IH CREDIT UNION,0053 IH CREDIT UNION,5000 URBANA RD,SPRINGFIELD,OH,45502-9069,501(c)(14),,http://www.ihcreditunion.com/,TO PROVIDE FINANCIAL SERVICES TO ITS MEMBERS.,2
474146355,007 BENEFIT LTD,007 BENEFIT LTD,11921 FREEDOM DR STE 550,RESTON,VA,20190-5635,501(c)(3),T70,http://www.007benefit.org/,"EACH YEAR 007 BENEFIT LTD HIGHLIGHTS A VETERAN'S CHARITY. WE HIGHLIGHT THEIR MISSION, AND IMPACT ON IMPROVING QUALITY OF LIFE, MEDICAL SUPPORT, OR DIGNITY FOR VETERANS AT AN ANNUAL GALA. AT THIS GALA, WOUNDED MILITARY HEROES RECEIVE SPECIAL RECOGNITION OF THEIR INDIVIDUAL ACTS OF VALOR, COURAGE, AND DUTY. U.S. SERVICE MEMBERS FROM WWII, VIETNAM AND PRESENT MILITARY CAMPAIGNS OR CONFLICTS ARE HONORED. 007 BENEFIT LTD PARTNERS WITH THE U.S. DEPARTMENT OF DEFENSE'S VIETNAM WAR COMMEMORATION TO RECOGNIZE VIETNAM VETERANS.",4
421693318,00736 LOCAL,00736 LOCAL,2874 ORUCE DR STE 1,BARTLETT,TN,38134,501(c)(5),J40,,,0
237516009,0083 K J BRANCH ST JOSEPHS SOCIETY,0083 K J BRANCH ST JOSEPHS SOCIETY,6611 ROCKSIDE RD STE 300,INDEPENDENCE,OH,44131-2344,501(c)(8),Y42,,,0
843859290,01 LABS INC,01 LABS INC,55 SE 6TH ST,MIAMI,FL,33131-2560,501(c)(3),B99,,,0
116037894,010-323 FRANKLIN ELEM SCHOOL PTA,010-323 FRANKLIN ELEM SCHOOL PTA,335 S FRANKLIN ST,HEMPSTEAD,NY,11550-6833,501(c)(3),,,,0
396097452,0113B LOCAL,0113B LOCAL,608 E BALTIMORE PIKE,MEDIA,PA,19063-1735,501(c)(5),,,,0
363540706,012367 ALBANY ELEMENTARY SCHOOL,012367 ALBANY ELEMENTARY SCHOOL,PO BOX 40,ALBANY,MN,56307-0040,501(c)(3),,,,0
320495362,01420 INC,01420 INC,21 NORMAL RD,FITCHBURG,MA,01420-3529,501(c)(3),W99,,,0
461460456,01908 INCORPORATED,01908 INCORPORATED,1 COPPER BEECH LN,NAHANT,MA,01908-1309,501(c)(4),C30,,,0
310387145,0197 UNIVERSAL 1 CREDIT UNION INC,0197 UNIVERSAL 1 CREDIT UNION INC,1 RIVER PARK DR,DAYTON,OH,45409-2104,501(c)(14),,http://www.universal1cu.org/,"TO ADVANCE THE CREDIT UNION IDEAL OF A MEMBER OWNED, NOT-FOR-PROFIT FINANCIAL COOPERATIVE; TO PROVIDE AND PROMOTE THE USE OF NUMEROUS INNOVATIVE AND HIGH QUALITY FINANCIAL SERVICES FEATURING COMPETITIVE BENEFITS AND ADVANTAGES TO HELP MEMBERS GAIN PERSONAL FINANCIAL SUCCESS; AND TO EXTEND SERVICES EMPHASIZING FINANCIAL EDUCATION THROUGHOUT THE MEMBERSHIP AND COMMUNITY.",7
814049787,02 SCHOLARSHIP FUND INC,02 SCHOLARSHIP FUND INC,109 BIG PINE RD,BATESVILLE,AR,72501-4006,501(c)(3),B82,,"TO ESTABLISH AND PROMOTE A READILY AVAILABLE MEANS FOR INDIVIDUALS OR BUSINESSES TO MAKE CHARITABLE LIFETIME GIFTS OR ESTABLISH BEQUEST TO HELP THE 02 SCHOLARSHIOP FUND, INC TO SOLICIT, COLLECT, RECEIVE, ACCUMULATE, ADMINISTER AND DISBURSE FUNDS IN SUCH A MANNER AS WELL, IN THE SOLE DISCRETION OF BOARD OF DIRECTORS, MOST EFFECTIVELY OPERATE TO FURTHER CHARITABLE, SCIENTIFIC, LITERARY, OR EDUCATIONS PURPOSES, INCLUDING FOR SUCH PURPOSES, THE MAKING OF DISTRIBUTIONS TO ORGANIZATIONS THAT QUALIFY AS EXEMPT ORGANIZATINS UNDER SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE OF 1986 ( OR THE CORRESPONDING PROVISIONS OF ANY FUTURE UNITED STATES INTERNAL REVENUE LAW) AND TO ENGAGE IN ANY AND ALL LAWFUL ACTIVITIES INCIDENTAL TO THE FOREGOING PURPOSES, EXCEPT AS RESTRICTED.",4
310239312,0202 TRUPARTNER,0202 TRUPARTNER,1717 WESTERN AVE,CINCINNATI,OH,45214-2007,501(c)(14),,http://www.trupartnercu.org/,NONE,0
310329725,0220 ABBEY CREDIT UNION INC,0220 ABBEY CREDIT UNION INC,800 FALLS CREEK DR,VANDALIA,OH,45377-8600,501(c)(14),,,"Our mission is to help our members improve their economic well-being and quality of life by being competitive, convenient, and cutting edge",3
251657651,0277 AMVETS,0277 AMVETS,9127 ROUTE 286 HWY W,HOMER CITY,PA,15748-9321,501(c)(19),,,,0
330826269,0311-CA,0311-CA,100 VETERANS PKWY,BARSTOW,CA,92311-7003,501(c)(19),,,,0
756061738,0352 WESTERN PLATEAU ELEMENTARY,0352 WESTERN PLATEAU ELEMENTARY,4927 SHAWNEE TRL,AMARILLO,TX,79109-6119,501(c)(3),B94,,,0
464132080,1 EMBRACE INC,1 EMBRACE INC,7802 DEERWOOD DR,HUMBLE,TX,77346-0000,501(c)(3),W99,,,0
371528711,1 FAITH COMMUNITY MINISTRY INC,1 FAITH COMMUNITY MINISTRY INC,1304 MONTANA DR,CHARLOTTE,NC,28216-3658,501(c)(3),P60,,,0
454596295,1 FAMILY 1 RESTAURANT A CA NONPROFIT PUB BEN CORP,1 FAMILY 1 RESTAURANT A CA NONPROFIT PUB BEN CORP,40320 NIDO CT,PALMDALE,CA,93551-5207,501(c)(3),K30,,TO BRING TOGETHER RESTAURANTS AND HUNGRY FAMILIES WHO HAVE NOT BEEN ABLE FOR ECONOMIC OR OTHER REASONS TO HAVE A HOT MEAL PROVIDED FOR THEM,1
464777546,1 FAMILY 2 ANOTHER OUTREACH,1 FAMILY 2 ANOTHER OUTREACH,1673 AUDREY PL NW,ATLANTA,GA,30318-3313,501(c)(3),P99,,,0
811287436,1 FAMILY 2GETHER 4EVER,1 FAMILY 2GETHER 4EVER,310 CLINTON AVE,PLAINFIELD,NJ,07063-1220,501(c)(3),P20,,Community Development Programs and Events,1
843657247,1 FAMILY HOOPS INC,1 FAMILY HOOPS INC,9212 SUMMIT CENTRE WAY APT 306,ORLANDO,FL,32810-5991,501(c)(3),N62,,,0
383843799,1 FAMILY PET CHARITIES INC,1 FAMILY PET CHARITIES INC,1704 NW FEDERAL HWY,STUART,FL,34994-9632,501(c)(3),D99,,,0
832503656,1 FC ALTADENA,1 FC ALTADENA,2715 SCRIPPS PL,ALTADENA,CA,91001-5151,501(c)(3),N64,,,0
274086530,1 FOR 1 OPPORTUNITY NETWORK,1 FOR 1 OPPORTUNITY NETWORK,2110 E 63RD ST,LONG BEACH,CA,90805-2605,501(c)(3),O30,,"Our mission is provide the most vulnerable in our community, economically disadvantage, and specifically at-nsk youths in the greater Long Beach area with programs designed to develop and assist youths in maintaining self-sufficiency and being productive members in the community",5
